original_index,imageid,predicted_category,prediction_probability,true_category,predicted_category_name,true_category_name
0,1261369347,156,0.22267984,1301,Mobilier,Lingerie enfant et jeu de bar
1,1315322348,2585,0.27509856,1560,Outillage de jardin,Catégorie 1560
2,1260564839,2585,0.6281382,2583,Outillage de jardin,Piscine et accessoires
3,911177853,114,0.9880468,1160,Objets pop culture,Catégorie 1160
4,1128429580,1,0.84035665,2403,Livres occasion,Lots livres et magazines
5,836040237,1,0.79094297,10,Livres occasion,Catégorie 10
6,1252307733,1281,0.84753394,2060,Jeux enfant,Catégorie 2060
7,1128649545,2583,0.66320556,2583,Piscine et accessoires,Piscine et accessoires
8,951722798,13,0.21391898,40,Modélisme,Catégorie 40
9,1100065226,2905,0.9121472,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
10,1240110387,2462,0.23411699,1280,Console et Jeux vidéos occasion,Catégorie 1280
11,466940230,1302,0.5640743,2280,Jeux et accessoires de plein air,Catégorie 2280
12,1026367857,2522,0.9157064,2522,Fournitures papeterie,Fournitures papeterie
13,1007562230,1302,0.5311167,2280,Jeux et accessoires de plein air,Catégorie 2280
14,887759919,1302,0.8157593,2280,Jeux et accessoires de plein air,Catégorie 2280
15,1313437152,13,0.2066755,1560,Modélisme,Catégorie 1560
16,986297576,2522,0.87486434,2522,Fournitures papeterie,Fournitures papeterie
17,1301346835,222,0.17786811,1920,Animalerie,Catégorie 1920
18,1213678822,1302,0.9543532,2280,Jeux et accessoires de plein air,Catégorie 2280
19,1255662532,194,0.431426,2585,Épicerie,Outillage de jardin
20,1312648321,1281,0.98124754,1280,Jeux enfant,Catégorie 1280
21,1007681255,1302,0.969876,2280,Jeux et accessoires de plein air,Catégorie 2280
22,1314578341,13,0.41137227,1280,Modélisme,Catégorie 1280
23,1307078268,128,0.10561942,1281,Jouets enfant,Jeux enfant
24,1282293703,228,0.15919757,1940,Journaux et revues occasion,Catégorie 1940
25,1292477311,206,0.9649069,1560,Décoration,Catégorie 1560
26,1287080187,2705,0.31424132,2403,Livres neufs,Lots livres et magazines
27,1250926571,132,0.58423495,1300,Puériculture,Catégorie 1300
28,1186308637,2403,0.8857698,2280,Lots livres et magazines,Catégorie 2280
29,1298419820,192,0.51871043,2583,Linge de maison,Piscine et accessoires
30,993167698,2403,0.17474867,2462,Lots livres et magazines,Console et Jeux vidéos occasion
31,1096149255,118,0.5368951,1280,Jeux de rôle et figurines,Catégorie 1280
32,933263221,2462,0.62991714,40,Console et Jeux vidéos occasion,Catégorie 40
33,883536898,1,0.518676,2280,Livres occasion,Catégorie 2280
34,684181853,132,0.3738529,1300,Puériculture,Catégorie 1300
35,1171530352,114,0.9547932,1160,Objets pop culture,Catégorie 1160
36,1097204577,114,0.70139706,1160,Objets pop culture,Catégorie 1160
37,1097464833,5,0.38142055,1320,Accessoires gaming,Catégorie 1320
38,1301242033,2705,0.1594993,1920,Livres neufs,Catégorie 1920
39,1291663578,1281,0.51688015,2060,Jeux enfant,Catégorie 2060
40,932675768,4,0.14065596,1140,Jeux consoles neuf,Catégorie 1140
41,1301523619,132,0.5997755,1300,Puériculture,Catégorie 1300
42,1262760513,1,0.71685225,2705,Livres occasion,Livres neufs
43,866758230,13,0.78224367,1140,Modélisme,Catégorie 1140
44,1190256254,2582,0.4781375,2582,Mobilier et accessoires de jardin,Mobilier et accessoires de jardin
45,1310883418,5,0.948958,50,Accessoires gaming,Catégorie 50
46,1225683213,2462,0.9307831,1140,Console et Jeux vidéos occasion,Catégorie 1140
47,1158120765,5,0.84992427,2583,Accessoires gaming,Piscine et accessoires
48,1121368999,228,0.7384996,1940,Journaux et revues occasion,Catégorie 1940
49,1284142748,118,0.61244404,1280,Jeux de rôle et figurines,Catégorie 1280
50,933259092,4,0.8643164,40,Jeux consoles neuf,Catégorie 40
51,1108332411,2705,0.9528276,2705,Livres neufs,Livres neufs
52,1301335224,118,0.5984745,1560,Jeux de rôle et figurines,Catégorie 1560
53,1203055707,2403,0.7190676,2403,Lots livres et magazines,Lots livres et magazines
54,922483907,2582,0.91776294,2582,Mobilier et accessoires de jardin,Mobilier et accessoires de jardin
55,866315136,4,0.4182652,1160,Jeux consoles neuf,Catégorie 1160
56,1276016429,2582,0.28752762,1302,Mobilier et accessoires de jardin,Jeux et accessoires de plein air
57,1316285562,6,0.9723355,60,Consoles de jeux,Catégorie 60
58,1236087582,2905,0.98396504,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
59,940879899,1302,0.42431343,40,Jeux et accessoires de plein air,Catégorie 40
60,1066598452,2583,0.9915712,2583,Piscine et accessoires,Piscine et accessoires
61,1091941558,2583,0.21798857,2403,Piscine et accessoires,Lots livres et magazines
62,1157516276,116,0.31116387,1281,Cartes de jeux,Jeux enfant
63,1298544163,206,0.48943967,1560,Décoration,Catégorie 1560
64,980535620,2585,0.29314682,2583,Outillage de jardin,Piscine et accessoires
65,1265214372,2583,0.96334374,2583,Piscine et accessoires,Piscine et accessoires
66,1263898160,222,0.87567246,1920,Animalerie,Catégorie 1920
67,1289167822,1281,0.898145,2060,Jeux enfant,Catégorie 2060
68,1296360852,156,0.3079244,2585,Mobilier,Outillage de jardin
69,1283612253,194,0.94779766,1320,Épicerie,Catégorie 1320
70,1323457601,222,0.9932466,1920,Animalerie,Catégorie 1920
71,1232556308,2582,0.34179217,2583,Mobilier et accessoires de jardin,Piscine et accessoires
72,1318903404,118,0.93340224,1920,Jeux de rôle et figurines,Catégorie 1920
73,1266656431,2705,0.74209595,2705,Livres neufs,Livres neufs
74,1080024633,1302,0.57593036,2280,Jeux et accessoires de plein air,Catégorie 2280
75,1192175534,194,0.5955568,1320,Épicerie,Catégorie 1320
76,941693658,2583,0.97833335,2583,Piscine et accessoires,Piscine et accessoires
77,1174585976,1281,0.19664875,2583,Jeux enfant,Piscine et accessoires
78,1270324029,2522,0.22567682,2522,Fournitures papeterie,Fournitures papeterie
79,1076213333,4,0.53437066,40,Jeux consoles neuf,Catégorie 40
80,1176505239,2583,0.9859097,2583,Piscine et accessoires,Piscine et accessoires
81,1294540292,1,0.4690351,10,Livres occasion,Catégorie 10
82,1211890393,206,0.7059972,1560,Décoration,Catégorie 1560
83,774653561,1302,0.77426213,2280,Jeux et accessoires de plein air,Catégorie 2280
84,1152121081,2522,0.3975224,2522,Fournitures papeterie,Fournitures papeterie
85,1250963245,132,0.78914046,1300,Puériculture,Catégorie 1300
86,1259021038,222,0.9953897,1920,Animalerie,Catégorie 1920
87,1132388545,206,0.23977529,1300,Décoration,Catégorie 1300
88,956575187,4,0.2324785,1160,Jeux consoles neuf,Catégorie 1160
89,1041726930,2403,0.4727981,2403,Lots livres et magazines,Lots livres et magazines
90,1136604757,2403,0.64929324,2403,Lots livres et magazines,Lots livres et magazines
91,1268782890,132,0.7282835,1280,Puériculture,Catégorie 1280
92,1176505273,2583,0.97536135,2583,Piscine et accessoires,Piscine et accessoires
93,1104739801,2582,0.5505268,1560,Mobilier et accessoires de jardin,Catégorie 1560
94,441334779,2585,0.8651164,1301,Outillage de jardin,Lingerie enfant et jeu de bar
95,958144254,2462,0.7705576,2462,Console et Jeux vidéos occasion,Console et Jeux vidéos occasion
96,1264761495,206,0.6209108,1560,Décoration,Catégorie 1560
97,996054394,2522,0.9777426,2522,Fournitures papeterie,Fournitures papeterie
98,1096635484,156,0.92739046,1301,Mobilier,Lingerie enfant et jeu de bar
99,1301639236,2582,0.51851124,2582,Mobilier et accessoires de jardin,Mobilier et accessoires de jardin
