original_index,imageid,predicted_category,prediction_probability,true_category,predicted_category_name,true_category_name
0,1261369347,1301,0.99968978,1301,Lingerie enfant et jeu de bar,Lingerie enfant et jeu de bar
1,1315322348,1560,0.78467014,1560,Catégorie 1560,Catégorie 1560
2,1260564839,2583,0.9999976,2583,Piscine et accessoires,Piscine et accessoires
3,911177853,1160,0.99481086,1160,Catégorie 1160,Catégorie 1160
4,1128429580,2403,0.92984246,2403,Lots livres et magazines,Lots livres et magazines
5,836040237,2705,0.81806569,10,Livres neufs,Catégorie 10
6,1252307733,2060,0.9766461,2060,Catégorie 2060,Catégorie 2060
7,1128649545,2583,0.99984129,2583,Piscine et accessoires,Piscine et accessoires
8,951722798,2462,0.76889606,40,Console et Jeux vidéos occasion,Catégorie 40
9,1100065226,2905,0.9994322,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
10,1240110387,1280,0.50618694,1280,Catégorie 1280,Catégorie 1280
11,466940230,2280,0.9955561,2280,Catégorie 2280,Catégorie 2280
12,1026367857,2522,0.99625926,2522,Fournitures papeterie,Fournitures papeterie
13,1007562230,2280,0.91374296,2280,Catégorie 2280,Catégorie 2280
14,887759919,10,0.31592207,2280,Catégorie 10,Catégorie 2280
15,1313437152,1560,0.79152807,1560,Catégorie 1560,Catégorie 1560
16,986297576,2522,0.99149192,2522,Fournitures papeterie,Fournitures papeterie
17,1301346835,1920,0.97717492,1920,Catégorie 1920,Catégorie 1920
18,1213678822,2280,0.97160122,2280,Catégorie 2280,Catégorie 2280
19,1255662532,2585,0.83076695,2585,Outillage de jardin,Outillage de jardin
20,1312648321,1280,0.67255055,1280,Catégorie 1280,Catégorie 1280
21,1007681255,2280,0.73461719,2280,Catégorie 2280,Catégorie 2280
22,1314578341,1280,0.27962025,1280,Catégorie 1280,Catégorie 1280
23,1307078268,1281,0.37951018,1281,Jeux enfant,Jeux enfant
24,1282293703,1940,0.99924354,1940,Catégorie 1940,Catégorie 1940
25,1292477311,1560,0.98324244,1560,Catégorie 1560,Catégorie 1560
26,1287080187,10,0.28590016,2403,Catégorie 10,Lots livres et magazines
27,1250926571,1300,0.79253816,1300,Catégorie 1300,Catégorie 1300
28,1186308637,2403,0.87756612,2280,Lots livres et magazines,Catégorie 2280
29,1298419820,2583,0.9999994,2583,Piscine et accessoires,Piscine et accessoires
30,993167698,50,0.95325396,2462,Catégorie 50,Console et Jeux vidéos occasion
31,1096149255,1280,0.40187413,1280,Catégorie 1280,Catégorie 1280
32,933263221,40,0.98666977,40,Catégorie 40,Catégorie 40
33,883536898,10,0.28993368,2280,Catégorie 10,Catégorie 2280
34,684181853,1300,0.68671621,1300,Catégorie 1300,Catégorie 1300
35,1171530352,1160,0.68874396,1160,Catégorie 1160,Catégorie 1160
36,1097204577,1160,0.99596282,1160,Catégorie 1160,Catégorie 1160
37,1097464833,1320,0.98522584,1320,Catégorie 1320,Catégorie 1320
38,1301242033,1920,0.97017906,1920,Catégorie 1920,Catégorie 1920
