original_index,imageid,predicted_category,prediction_probability,true_category,predicted_category_name,true_category_name
0,1261369347,156,0.36433005,1301,Mobilier,Lingerie enfant et jeu de bar
1,1315322348,1281,0.4674456,1560,Jeux enfant,Catégorie 1560
2,1260564839,132,0.4905478,2583,Puériculture,Piscine et accessoires
3,911177853,114,0.99608314,1160,Objets pop culture,Catégorie 1160
4,1128429580,1,0.76632464,2403,Livres occasion,Lots livres et magazines
5,836040237,1,0.42227897,10,Livres occasion,Catégorie 10
6,1252307733,1281,0.8907698,2060,Jeux enfant,Catégorie 2060
7,1128649545,2583,0.9721594,2583,Piscine et accessoires,Piscine et accessoires
8,951722798,13,0.21438397,40,Modélisme,Catégorie 40
9,1100065226,2905,0.9773586,2905,Jeux PC en téléchargement,Jeux PC en téléchargement
10,1240110387,5,0.13128568,1280,Accessoires gaming,Catégorie 1280
11,466940230,1302,0.5430067,2280,Jeux et accessoires de plein air,Catégorie 2280
12,1026367857,2522,0.7940702,2522,Fournitures papeterie,Fournitures papeterie
13,1007562230,1,0.5074482,2280,Livres occasion,Catégorie 2280
14,887759919,1302,0.5600324,2280,Jeux et accessoires de plein air,Catégorie 2280
15,1313437152,128,0.3457069,1560,Jouets enfant,Catégorie 1560
16,986297576,2522,0.996896,2522,Fournitures papeterie,Fournitures papeterie
17,1301346835,1281,0.18894131,1920,Jeux enfant,Catégorie 1920
18,1213678822,1302,0.99748766,2280,Jeux et accessoires de plein air,Catégorie 2280
19,1255662532,2583,0.38584355,2585,Piscine et accessoires,Outillage de jardin
20,1312648321,1281,0.8403604,1280,Jeux enfant,Catégorie 1280
21,1007681255,1302,0.950254,2280,Jeux et accessoires de plein air,Catégorie 2280
22,1314578341,13,0.35809228,1280,Modélisme,Catégorie 1280
23,1307078268,2403,0.23292628,1281,Lots livres et magazines,Jeux enfant
24,1282293703,2403,0.23058955,1940,Lots livres et magazines,Catégorie 1940
25,1292477311,206,0.6984066,1560,Décoration,Catégorie 1560
26,1287080187,2705,0.38171628,2403,Livres neufs,Lots livres et magazines
27,1250926571,132,0.6897435,1300,Puériculture,Catégorie 1300
28,1186308637,2403,0.98145056,2280,Lots livres et magazines,Catégorie 2280
29,1298419820,13,0.23812588,2583,Modélisme,Piscine et accessoires
30,993167698,2403,0.3029002,2462,Lots livres et magazines,Console et Jeux vidéos occasion
31,1096149255,13,0.30101046,1280,Modélisme,Catégorie 1280
32,933263221,4,0.84412766,40,Jeux consoles neuf,Catégorie 40
33,883536898,4,0.51092154,2280,Jeux consoles neuf,Catégorie 2280
34,684181853,132,0.32332358,1300,Puériculture,Catégorie 1300
35,1171530352,114,0.99385613,1160,Objets pop culture,Catégorie 1160
36,1097204577,1302,0.39170033,1160,Jeux et accessoires de plein air,Catégorie 1160
37,1097464833,194,0.442077,1320,Épicerie,Catégorie 1320
38,1301242033,1281,0.5993542,1920,Jeux enfant,Catégorie 1920
